Algorithm;Algoritma;Bu algoritma, verilen verileri sıralamak için kullanılır.;This algorithm is used to sort the given data.
Hardware;Donanım;Bu bilgisayarın donanımı, işlemci, RAM ve sabit diskten oluşur.;This computer's hardware consists of a processor, RAM, and hard disk.
Software;Yazılım;Bu yazılım, bilgisayarın çalışmasını yönetir.;This software manages the operation of the computer.
Memory;Bellek;Bu bilgisayarın belleği, 8 GB'tır.;This computer's memory is 8 GB.
Processor;İşlemci;Bu bilgisayarın işlemcisi, quad-core bir Intel işlemcidir.;This computer's processor is a quad-core Intel processor.
Network;Ağ;Bu ağ, birçok bilgisayarı birbirleriyle iletişim kurmaya imkan verir.;This network allows many computers to communicate with each other.
Data;Veri;Bu veri, bir veritabanında saklanır.;This data is stored in a database.
Storage;Depolama;Bu bilgisayarın depolama alanı, 1 TB'tır.;This computer's storage space is 1 TB.
Operating system;İşletim sistemi;Bu bilgisayarın işletim sistemi, Windows 10'dur.;This computer's operating system is Windows 10.
Programming;Programlama;Bu program, C dilinde yazılmıştır.;This program is written in the C programming language.
Debugging;Hata ayıklama;Hata ayıklama, yazılımda oluşabilecek hataları tespit etme ve düzeltme işlemidir.;Debugging is the process of identifying and fixing errors that may occur in software.
Compiler;Derleyici;Derleyici, yazılım dili kodunu makine diline çevirir.;The compiler translates the software language code into machine language.
Interpreter;Yorumlayıcı;Yorumlayıcı, kodu satır satır yürütür ve hata ayıklama işlemini kolaylaştırır.;The interpreter executes the code line by line and facilitates the debugging process.
Syntax;Sözdizimi;Bu programda sözdizimi hatası var.;There is a syntax error in this program.
Protocol;Protokol;Bu ağda kullanılan protokol, TCP/IP protokolüdür.;The protocol used on this network is the TCP/IP protocol.
Circuit;Devre;Bu devre, güç kaynağından güç alır ve ısıyı azaltır.;This circuit takes power from the power source and reduces heat.
Data structure;Veri yapısı;Bu veri yapısı, verilerin hızlı bir şekilde aranmasını ve depolanmasını sağlar.;This data structure allows for fast searching and storing of data.
Hypertext;Hipermetin;Hipermetin, bir web sayfasında başka bir web sayfasına bağlantı içeren metinlerdir.;Hypertext is text on a web page that includes a link to another web page.
Input/Output;Giriş/Çıkış;Bu program, kullanıcıdan giriş yaptıktan sonra çıktıyı hesaplar.;This program calculates the output after the user inputs.
Firmware;Bu cihazın firmware'i, cihazın işlevselliğini kontrol eder.;The firmware of this device controls its functionality.
Binary;İkili;İkili sayı sisteminde, sadece iki rakam kullanılır: 0 ve 1.;In the binary number system, only two digits are used: 0 and 1.
Byte;Bayt;Bu dosya, 100 bayt büyüklüğündedir.;This file is 100 bytes in size.
Logic gate;Mantık kapısı;Mantık kapıları, bilgisayar donanımında veri işleme için kullanılır.;Logic gates are used for data processing in computer hardware.
Internet;İnternet;İnternet, dünya ülkelerinin birbirlerine bağlı bilgisayar ağıdır.;The internet is a network of computers connected to each other from countries around the world.
Virus;Virus;Bu bilgisayara bir virus bulaştı ve tüm dosyalar silindi.;A virus infected this computer and all the files were deleted.
